ID,Name,SMILES,Category,A Mass,Monoisotropic mass,Density (D),Boiling Point (BP),LOGP,Polar surface area,Polarizability (Pol),Surface tension,Molar Volume (MV),Flash Point (FP),SO(G),SO3,SO4,SO5,SO6,ESO(G),MESO(G)
Comp_176,Scopoletin,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,Polyphenol,192.17,192.042259,1.377562724,413.5,1.28,56,19.2,54.7,139.5,172.4,52.3243,169.1257,154.123,48.9734,17.0318,256.4816,0.003899
Comp_177,Ferulic Acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Polyphenol,194.186,194.057909,1.316515254,372.3,1.64,67,20.7,56.2,147.5,150.5,46.8613,152.6871,134.8494,48.1841,18.2777,218.9331,0.004568
Comp_178,Chrysin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Polyphenol,254.241,254.057909,1.443730835,491.9,2.88,67,26.9,68.2,176.1,192.5,73.8266,237.6942,217.3197,55.9088,20.6288,365.3031,0.002737
Comp_179,Baicalein,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,Polyphenol,270.24,270.052823,1.547766323,575.9,3.31,87,27.7,79.6,174.6,225.3,78.2631,252.3558,234.1743,55.1195,21.8747,392.8084,0.002546
Comp_180,Galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Polyphenol,270.24,270.052823,1.579427236,518.6,2.83,87,27.6,84.9,171.1,202,78.2631,252.3558,234.1743,55.1195,21.8747,392.8084,0.002546
Comp_181,Acacetin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Polyphenol,284.267,284.068473,1.420624688,518.6,3.15,76,29.6,63.4,200.1,198.3,81.2225,261.982,240.9724,70.0379,24.6119,403.4672,0.002479
Comp_182,Hesperetin,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,Polyphenol,302.282,302.079038,1.458186204,586.2,2.9,96,30.5,67.5,207.3,223,85.799,277.5321,258.6438,76.5332,27.9692,430.2584,0.002324
Comp_183,Naringenin,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,Polyphenol,272.256,272.068473,1.485302782,577.5,3.19,87,27.9,72.9,183.3,224.7,78.5431,254.1329,235.8079,69.6886,26.0975,391.3803,0.002555
Comp_184,Taxifolin,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Polyphenol,304.254,304.058303,1.70259653,687.6,1.82,127,29.2,100.4,178.7,264.2,87.5561,284.3445,270.334,75.3946,30.7006,445.6768,0.002244
Comp_185,Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Polyphenol,270.24,270.052823,1.547766323,555.5,2.96,87,27.7,79.6,174.6,217.1,78.4031,253.2443,234.9911,62.4041,23.9861,392.0944,0.00255
Comp_186,Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,Polyphenol,254.241,254.057909,1.443730835,512.8,2.78,67,26.9,68.2,176.1,201.2,73.8266,237.6942,217.3197,55.9088,20.6288,365.3031,0.002737
Comp_187,p-Coumaric Acid,C1=CC(=CC=C1/C=C/C(=O)O)O,Polyphenol,164.16,164.047344,1.329230769,346.1,1.88,58,18.1,62.4,123.5,177.3,39.6054,129.2879,112.0135,41.3396,16.406,180.055,0.005554
Comp_188,Sinapic Acid,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,Polyphenol,224.212,224.068473,1.307358601,403.4,1.29,76,23.4,52,171.5,158.6,54.1171,176.0863,157.6853,55.0287,20.1494,257.8112,0.003879
Comp_189,Protocatechuic Acid,C1=CC(=C(C=C1C(=O)O)O)O,Polyphenol,154.121,154.026609,1.55992915,410.7,1.16,78,14.6,84.3,98.8,216.3,38.385,126.1779,116.3018,40.5503,17.6519,184.9329,0.005407
Comp_190,Syringic Acid,COC1=CC(=CC(=C1O)OC)C(=O)O,Polyphenol,198.174,198.052823,1.335404313,379.5,1.13,76,19.2,51.6,148.4,155,48.3202,157.4262,144.3021,47.7441,18.038,235.8978,0.004239
Comp_191,Vanillic Acid,COC1=C(C=CC(=C1)C(=O)O)O,Polyphenol,168.148,168.042259,1.351672026,353.4,1.33,67,16.5,56.5,124.4,149.4,41.0644,134.027,121.4662,40.8996,16.1663,197.0197,0.005076
Comp_192,Isoferulic Acid,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,Polyphenol,194.186,194.057909,1.316515254,410.2,1.56,67,20.7,56.2,147.5,167.6,46.8613,152.6871,134.8494,48.1841,18.2777,218.9331,0.004568
Comp_193,Umbelliferone,C1=CC(=CC2=C1C=CC(=O)O2)O,Polyphenol,162.144,162.031694,1.403844156,382.1,1.58,47,16.5,59.5,115.5,181.2,45.0685,145.7266,131.2872,42.1289,15.1601,217.6035,0.004596
Comp_194,Piceatannol,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)O)O)O,Polyphenol,244.246,244.073559,1.467824519,507.3,2.69,81,28.2,82.9,166.4,252.2,65.8152,214.147,193.3964,69.6886,26.0975,315.0128,0.003174
Comp_195,Pterostilbene,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,Polyphenol,256.301,256.109944,1.16979005,420.4,4.13,39,31.3,45.9,219.1,208.1,66.5974,214.2951,186.0538,63.8919,19.7691,312.3952,0.003201
Comp_196,Epicatechin,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Polyphenol,290.271,290.079038,1.593144896,630.4,0.49,110,29.2,88.1,182.2,335,83.1196,269.683,253.4794,76.1839,29.4547,418.1716,0.002391
Comp_197,Epicatechin gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Polyphenol,442.376,442.089997,1.8100491,861.7,2.67,177,42.4,132,244.4,305,126.9677,412.2995,389.0548,117.5235,45.8607,640.653,0.001561
Comp_198,Eriodictyol,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,Polyphenol,288.255,288.063388,1.586433682,625.2,2.59,107,28.6,84.4,181.7,241.9,83.1196,269.683,253.4794,76.1839,29.4547,418.1716,0.002391
Comp_199,Rutin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,Polyphenol,610.521,610.153385,1.826813285,983.1,1.76,266 ,54.8,125.2,334.2,325.4,172.1437,558.9147,533.5681,143.5046,59.2898,880.754,0.001135
Comp_200,Chlorogenic Acid,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Polyphenol,354.311,354.095082,1.651799534,665,-0.36,165,32.5,102,214.5,245.5,94.6436,311.6153,302.9867,110.057,51.246,477.0974,0.002096
